trial,THR_OPEN_5000,THR_OPEN_5100,THR_OPEN_5200,THR_OPEN_5300,THR_OPEN_5400,THR_OPEN_5500,SCALP_MAX_PER_TICK_5000,SCALP_MAX_PER_TICK_5100,SCALP_MAX_PER_TICK_5200,SCALP_MAX_PER_TICK_5300,SCALP_MAX_PER_TICK_5400,SCALP_MAX_PER_TICK_5500,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,,,,,,,,,,,,,14675,2946,12312,17621,12312,29934,25.37,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
1,1.4023,1.3602,0.2222,0.7509,0.6655,0.5476,47,20,49,77,34,11,14598,2942,11809,17540,11809,29348,26.21,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,536,1456,161,776,1824,72,542,1145,106,452,665,27,240,340,-5,-6,100,0,0,0,0,0,0
2,0.4874,1.3722,0.3115,0.8477,0.8664,0.6667,68,23,100,12,65,17,14683,2948,12304,17631,12304,29934,26.12,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,800,1824,72,542,1145,109,461,666,27,240,340,0,5,98,0,0,0,0,0,0
3,0.4673,0.9659,0.4235,1.462,0.9352,1.4591,14,94,37,56,57,46,14675,2946,12312,17621,12312,29934,26.76,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,495,1952,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
4,1.0587,0.9449,0.4309,0.9678,1.0784,0.4366,50,70,71,67,30,32,14675,3044,12283,17719,12283,30002,26.07,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
5,0.8937,1.2606,0.957,0.3282,0.9384,0.5648,96,35,20,14,83,85,14694,2966,12378,17660,12378,30038,26.19,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,84,529,1145,113,448,678,27,240,340,-5,5,107,0,0,0,0,0,0
6,0.63,1.3702,0.5962,0.9137,0.3944,1.219,57,79,68,43,89,100,14675,2950,12282,17625,12282,29906,25.91,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
7,1.2336,0.5094,0.3852,0.3305,0.4174,0.2727,73,79,85,59,14,63,14663,3070,12258,17733,12258,29992,25.69,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,198,627,1904,161,811,1824,72,542,1145,106,449,665,20,235,334,-5,5,107,0,0,0,0,0,0
8,0.7114,1.2524,0.2166,1.2465,0.9002,1.1737,30,97,38,17,66,54,14667,2968,12289,17635,12289,29924,25.89,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,811,1824,72,542,1145,98,471,672,27,240,340,-5,5,107,0,0,0,0,0,0
9,0.2208,0.8378,0.2986,0.9128,1.4356,0.3192,58,14,69,68,37,81,14684,2924,12310,17608,12310,29918,26.05,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1932,170,785,1842,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
10,0.8877,1.0978,1.2567,0.33,1.3711,1.1905,31,81,42,31,66,94,14675,2962,12365,17637,12365,30002,26.38,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
11,1.36,1.3637,1.2536,1.1009,1.1695,0.5838,31,98,18,91,79,62,14624,3010,11826,17634,11826,29460,27.45,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,161,811,1824,98,531,1155,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
12,0.5885,0.9927,1.2745,0.2329,0.6323,1.1474,81,16,23,27,81,65,14690,2906,12270,17596,12270,29866,26.64,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,182,795,1812,66,518,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
13,0.5229,0.3021,1.0951,0.5056,1.4449,1.4848,94,81,24,81,67,44,14686,2934,12312,17620,12312,29932,27.38,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,83,529,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
14,0.2051,0.2307,1.1739,0.4647,0.2392,0.7841,58,28,61,97,93,64,14675,2916,12298,17591,12298,29890,27.54,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1938,161,799,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
15,1.4411,1.1095,0.9765,1.1366,0.884,0.5451,63,71,79,32,48,21,14588,2988,11818,17576,11818,29394,26.18,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,554,1456,161,811,1824,72,524,1145,106,452,665,27,240,340,-15,5,109,0,0,0,0,0,0
16,0.4944,1.3225,0.6905,1.0754,0.7354,0.6155,17,73,12,87,97,54,14698,2920,12334,17618,12334,29952,25.68,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,477,1952,161,811,1824,95,533,1167,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
17,1.2462,1.4476,0.4086,0.7454,0.8211,1.3484,45,53,15,95,80,78,14690,3072,12244,17762,12244,30006,26.47,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,198,627,1904,161,811,1824,92,536,1125,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
18,0.5615,0.6992,1.4845,0.8532,1.0066,0.5608,21,43,28,24,25,66,14675,2950,12309,17625,12309,29934,27.22,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,516,1922,161,811,1824,72,524,1145,106,452,692,27,240,340,-5,5,107,0,0,0,0,0,0
19,0.2099,0.5371,0.5219,1.0244,0.7289,0.5583,14,24,82,15,20,56,14683,2922,12308,17605,12308,29912,27.29,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,495,1926,161,788,1824,72,542,1145,115,453,687,26,237,340,-5,5,107,0,0,0,0,0,0
20,0.9348,1.2887,0.4344,0.7144,0.6695,1.0121,89,21,75,96,20,99,14674,2960,12365,17634,12365,30000,29.13,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,792,1824,72,542,1145,106,452,665,26,237,340,-5,5,107,0,0,0,0,0,0
21,1.0512,0.2533,1.3854,1.4816,0.9943,1.4119,31,25,33,27,27,47,14675,3020,12283,17695,12283,29978,29.89,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,804,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
22,0.8095,0.5836,1.2681,1.1878,0.6249,0.6557,100,16,87,23,27,30,14700,2948,12367,17648,12367,30016,28.89,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,182,795,1812,72,524,1145,110,452,679,27,240,340,-5,5,107,0,0,0,0,0,0
23,1.314,1.457,1.1848,0.8934,1.0624,1.0466,36,50,38,65,78,81,14598,3050,12298,17648,12298,29946,29.77,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,617,1938,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
24,1.4031,0.7934,1.4759,0.368,1.4766,1.2803,49,94,91,58,49,15,14598,2966,11811,17564,11811,29376,32.21,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,536,1456,161,811,1824,72,524,1145,106,449,665,27,240,340,-5,5,102,0,0,0,0,0,0
25,0.839,1.1414,0.8956,0.6106,0.2761,1.1567,54,93,36,64,50,70,14675,2982,12365,17657,12365,30022,30.29,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
26,1.2698,1.4104,0.5197,0.2456,0.7791,0.7184,85,56,50,47,32,57,14670,3076,12298,17746,12298,30044,33.65,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,198,627,1938,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
27,0.9483,0.8973,1.0207,0.4362,1.4757,1.2052,12,89,87,66,94,18,14666,3002,12358,17668,12358,30026,32.14,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,572,2005,161,811,1824,72,524,1145,106,449,665,27,240,340,-14,5,100,0,0,0,0,0,0
28,0.7933,0.7088,0.531,0.7477,1.4671,1.1214,10,58,14,54,95,95,14693,3032,12337,17725,12337,30062,29.87,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,189,590,1974,161,811,1824,104,533,1148,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
29,1.3361,0.3867,1.1766,0.8034,1.4062,0.8152,31,18,75,25,64,28,14598,2968,11822,17566,11822,29388,26.35,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,161,776,1830,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
30,1.4727,0.3526,1.1753,0.4711,0.4565,1.2178,49,12,87,92,54,49,14579,2838,11816,17417,11816,29232,25.9,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,442,1456,142,776,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
31,0.5491,0.7594,1.4189,0.5838,0.4863,0.9406,46,79,79,12,95,81,14678,2938,12283,17616,12283,29898,29.69,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,811,1824,72,524,1145,109,458,666,27,240,340,-5,5,107,0,0,0,0,0,0
32,0.399,1.2149,1.0672,1.1055,1.4605,1.4419,98,27,24,49,24,84,14686,2930,12323,17616,12323,29938,30.17,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1963,161,804,1824,83,529,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
33,0.3031,1.4506,1.1359,0.2459,0.5537,0.7484,20,14,90,43,83,91,14684,2912,12341,17596,12341,29936,29.15,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1963,170,785,1842,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
34,1.0407,1.3967,1.1513,1.0541,0.4289,0.8353,35,94,19,26,37,94,14702,3026,12283,17728,12283,30010,33.8,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,99,523,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
35,1.3669,1.4684,0.9801,1.1869,1.1858,1.2374,43,10,59,82,63,91,14619,2958,11850,17577,11850,29428,31.16,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,182,766,1858,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
36,0.2233,1.2359,1.0397,0.9251,0.2109,0.3063,28,55,75,63,73,51,14675,2928,12292,17603,12292,29896,33.04,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,495,1932,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
37,0.572,0.2448,0.4703,0.3858,1.2663,1.4683,88,31,24,27,95,88,14686,2918,12282,17604,12282,29886,36.48,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,795,1824,83,529,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
38,1.2901,0.4557,0.879,1.0413,1.4117,1.2909,74,31,78,86,36,44,14598,3062,12298,17660,12298,29958,31.43,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,627,1938,161,795,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
39,1.0539,1.27,0.3497,0.6651,1.081,1.4787,22,26,65,36,58,22,14675,3022,12277,17697,12277,29974,31.25,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,788,1824,72,542,1145,106,452,665,27,240,340,-5,5,101,0,0,0,0,0,0
40,1.1245,0.6806,0.7973,0.9263,0.6359,0.9705,28,64,30,41,82,22,14675,3044,12277,17719,12277,29996,27.83,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,101,0,0,0,0,0,0
41,1.2087,0.2914,1.028,0.7807,0.4119,0.6539,29,57,14,16,43,36,14722,3070,12268,17792,12268,30060,27.94,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,627,1904,161,811,1824,104,533,1148,117,453,666,27,240,340,-5,5,107,0,0,0,0,0,0
42,0.8035,0.639,1.2423,1.2266,0.7249,0.6911,96,21,71,23,95,92,14679,2946,12379,17625,12379,30004,31.52,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,792,1824,72,524,1145,110,452,679,27,240,340,-5,5,107,0,0,0,0,0,0
43,1.1525,0.935,1.4277,0.2467,1.1009,1.3066,32,93,13,52,23,95,14700,3018,12305,17718,12305,30022,29.94,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,215,593,1904,161,811,1824,85,518,1186,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
44,1.2032,1.3042,1.431,1.4328,0.3869,0.3659,90,52,91,99,48,45,14679,3060,12264,17739,12264,30004,33.91,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,627,1904,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
45,0.8795,1.0267,0.9405,1.4292,1.0777,0.9802,86,89,90,61,32,61,14675,2982,12365,17657,12365,30022,29.11,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
46,1.1426,1.2611,1.2228,0.3056,0.8236,1.2147,29,53,80,72,16,95,14660,3022,12260,17682,12260,29942,29.4,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,215,593,1904,161,811,1824,72,524,1145,106,449,665,0,238,336,-5,5,107,0,0,0,0,0,0
47,1.1839,0.5571,0.2248,0.4957,0.7525,0.9832,20,24,88,56,41,90,14679,3052,12264,17731,12264,29996,35.63,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,627,1904,161,788,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
