trial,THR_OPEN_5000,THR_OPEN_5100,THR_OPEN_5200,THR_OPEN_5300,THR_OPEN_5400,THR_OPEN_5500,SCALP_MAX_PER_TICK_5000,SCALP_MAX_PER_TICK_5100,SCALP_MAX_PER_TICK_5200,SCALP_MAX_PER_TICK_5300,SCALP_MAX_PER_TICK_5400,SCALP_MAX_PER_TICK_5500,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
48,0.8807,0.5328,1.4651,0.4238,1.4781,0.8393,43,35,97,78,28,51,14675,2962,12365,17637,12365,30002,31.49,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
49,1.1698,0.6414,0.4877,1.3049,1.1712,0.9686,62,79,64,16,50,24,14690,3046,12263,17736,12263,29998,31.73,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,593,1904,161,811,1824,72,542,1145,117,453,666,27,240,340,-5,5,105,0,0,0,0,0,0
50,0.2845,0.3501,1.3282,1.3254,0.4198,0.6724,26,24,46,55,95,47,14675,2908,12348,17583,12348,29930,33.82,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,497,1988,161,788,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
51,0.9425,1.3926,0.4672,1.1911,1.1702,1.4882,68,89,82,86,46,14,14675,2982,12354,17657,12354,30012,25.88,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,96,0,0,0,0,0,0
52,1.204,1.1495,1.2719,0.7151,0.2569,0.2174,30,14,79,93,71,56,14688,3034,12282,17722,12282,30004,24.2,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,627,1904,170,785,1842,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
53,1.3876,0.7711,0.9061,1.0545,1.1152,1.3415,91,39,28,34,45,83,14598,2988,11816,17586,11816,29402,32.08,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,536,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
54,0.4523,1.4869,1.3547,1.2483,0.8302,0.4239,49,85,10,42,71,88,14709,2936,12302,17645,12302,29948,38.97,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,106,529,1135,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
55,1.4889,1.227,1.1228,1.4657,0.3569,0.4341,63,24,59,62,44,38,14598,2852,11816,17450,11816,29266,34.42,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,442,1456,161,788,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
56,0.483,1.0289,0.8685,0.3113,0.7351,1.3854,10,47,63,32,35,15,14661,2934,12289,17595,12289,29884,36.05,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,189,486,1934,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,102,0,0,0,0,0,0
57,1.2463,0.2926,0.2039,0.2505,0.2337,1.1094,37,12,57,83,62,83,14651,3040,12264,17691,12264,29956,32.64,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,198,627,1904,142,776,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
58,0.8294,1.1954,0.5511,0.2051,0.4518,1.4989,90,38,27,17,20,27,14666,2996,12372,17662,12372,30034,34.32,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,98,468,672,26,237,340,-5,5,107,0,0,0,0,0,0
59,1.3044,1.3074,0.5468,0.8608,1.3328,1.0661,98,77,72,15,80,10,14612,3070,12313,17682,12313,29994,29.48,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,627,1938,161,811,1824,72,542,1145,115,453,687,27,240,340,0,-5,100,0,0,0,0,0,0
60,0.6169,0.8182,0.9419,0.6068,1.0614,1.1802,89,10,40,84,52,76,14696,2904,12316,17600,12316,29916,29.42,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,182,766,1858,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
61,0.9133,1.4027,1.2969,0.8334,0.4653,1.2968,95,74,32,21,46,99,14675,2964,12373,17639,12373,30012,34.22,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,452,673,27,240,340,-5,5,107,0,0,0,0,0,0
62,1.2739,1.4674,1.173,1.2219,0.747,1.3768,91,89,47,38,93,17,14675,3060,12289,17735,12289,30024,32.82,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,198,627,1938,161,811,1824,72,524,1145,106,452,665,27,240,340,0,5,98,0,0,0,0,0,0
63,0.2965,0.7158,0.6884,1.3734,0.9539,0.4071,51,83,62,38,75,35,14675,2950,12313,17625,12313,29938,36.1,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1953,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
64,0.7514,0.9043,0.9377,0.8242,0.7046,0.8824,24,67,16,19,22,38,14692,2998,12350,17690,12350,30040,33.57,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,536,1922,161,811,1824,93,533,1171,102,471,707,27,240,340,-5,5,107,0,0,0,0,0,0
65,0.2417,0.8935,0.2789,0.5368,0.4655,1.3178,32,59,76,31,29,79,14675,2946,12292,17621,12292,29914,33.96,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1932,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
66,0.4037,1.1609,0.406,0.2318,1.3597,0.5032,57,71,60,34,64,37,14675,2946,12323,17621,12323,29944,29.72,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1963,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
67,1.3846,0.7973,0.9556,0.9797,0.4449,1.2586,28,13,81,71,79,67,14604,2952,11798,17556,11798,29354,28.45,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,536,1456,167,775,1806,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
68,1.1923,0.2973,0.6525,1.365,0.3116,1.3129,67,68,81,53,39,30,14679,3078,12264,17757,12264,30022,31.05,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,627,1904,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
69,1.0847,1.3368,0.2211,1.072,1.3476,0.5157,52,34,82,47,89,21,14665,3044,12285,17709,12285,29994,27.3,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-15,5,109,0,0,0,0,0,0
70,0.4152,1.4517,1.2182,0.3025,0.9248,0.6972,14,16,57,19,35,24,14692,2928,12351,17620,12351,29972,34.32,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,495,1963,182,795,1812,72,524,1145,102,468,707,27,240,340,-5,5,105,0,0,0,0,0,0
71,0.6467,0.9863,0.5233,0.3675,1.4244,1.1107,50,24,52,41,29,44,14675,2924,12282,17599,12282,29880,33.9,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,788,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
72,0.3384,0.834,0.4356,0.8958,0.8535,1.3307,100,40,65,44,87,96,14675,2950,12323,17625,12323,29948,35.18,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1963,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
73,1.0009,1.0107,0.9745,0.6003,0.71,0.3601,61,60,62,32,70,98,14675,3026,12283,17701,12283,29984,26.92,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
74,1.2442,1.156,0.2031,0.4393,0.3656,1.1463,86,21,89,65,71,59,14670,3056,12264,17726,12264,29990,23.4,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,198,627,1904,161,792,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
75,0.6059,0.94,0.647,0.5326,1.1892,0.7109,95,91,58,54,98,92,14675,2946,12282,17621,12282,29904,24.18,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
76,0.7478,0.7004,0.3512,0.384,1.3931,1.1162,50,26,62,55,59,90,14675,2956,12282,17631,12282,29914,25.59,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,1922,161,788,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
77,0.8747,1.4935,1.1146,0.7939,0.5079,0.393,100,30,12,20,12,85,14680,2974,12377,17654,12377,30032,23.38,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,807,1824,95,533,1167,104,459,659,11,238,336,-5,5,107,0,0,0,0,0,0
78,0.9686,0.3483,0.5046,1.311,0.5058,0.837,56,83,45,73,63,10,14680,2972,12276,17652,12276,29928,24.33,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,0,-5,100,0,0,0,0,0,0
79,1.3282,0.8026,1.4574,0.4957,1.3506,0.2957,95,73,20,98,97,80,14610,3006,11816,17616,11816,29432,30.8,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,161,811,1824,84,529,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
80,1.2753,0.5464,1.1198,1.292,0.3518,1.1362,24,97,12,75,89,36,14693,3070,12320,17763,12320,30082,24.01,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,198,627,1938,161,811,1824,95,533,1167,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
81,1.4125,0.4552,0.8912,0.3628,1.2867,1.2868,55,89,53,38,57,11,14598,2992,11809,17590,11809,29398,25.24,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,554,1456,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,-6,100,0,0,0,0,0,0
82,0.5026,0.2121,0.4896,1.0437,1.2895,1.079,58,75,12,76,67,78,14698,2940,12334,17638,12334,29972,17.85,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,95,533,1167,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
83,1.0506,0.3688,1.279,1.0825,1.2785,0.487,94,61,47,66,53,16,14680,3026,12270,17706,12270,29976,11.39,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,524,1145,106,452,665,27,240,340,0,5,94,0,0,0,0,0,0
84,1.0475,0.667,0.8615,0.4615,0.4356,0.5776,78,58,36,39,23,43,14675,3042,12283,17717,12283,30000,10.28,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
85,0.5452,0.3309,0.5414,1.0215,0.6853,1.0825,17,67,72,56,87,54,14675,2928,12312,17603,12312,29916,10.27,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,477,1952,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
86,1.2949,1.0867,0.7085,0.2926,0.7644,1.2785,14,80,98,89,15,78,14568,3076,12313,17644,12313,29956,10.43,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,116,627,1938,161,811,1824,72,542,1145,106,449,665,7,240,355,-5,5,107,0,0,0,0,0,0
87,0.8509,0.4396,0.3901,0.8103,0.2205,1.3264,50,91,48,10,48,73,14673,2990,12382,17663,12382,30044,10.62,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,104,459,682,27,240,340,-5,5,107,0,0,0,0,0,0
88,0.81,1.4784,0.2043,0.501,1.2166,0.2708,54,69,85,79,19,18,14646,2980,12358,17626,12358,29984,17.11,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,449,665,7,240,340,-14,5,100,0,0,0,0,0,0
89,1.4632,1.0814,1.4682,0.8997,0.7204,0.7894,40,84,95,43,99,15,14598,2920,11811,17518,11811,29328,12.45,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,486,1456,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,102,0,0,0,0,0,0
90,0.2719,1.2012,0.9878,0.6275,0.6192,0.2395,23,52,49,19,67,27,14671,2940,12334,17611,12334,29946,10.48,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,488,1932,161,811,1824,72,524,1145,102,471,707,27,240,340,-5,5,107,0,0,0,0,0,0
91,1.349,0.648,1.3251,1.1863,0.4244,1.2222,86,83,27,42,18,62,14588,3002,11816,17590,11816,29406,10.59,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,161,811,1824,72,524,1145,106,452,665,17,238,340,-5,5,107,0,0,0,0,0,0
92,0.2959,0.5146,1.376,0.996,0.6298,0.8905,48,74,93,15,51,53,14684,2932,12335,17616,12335,29952,10.51,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1953,161,811,1824,72,524,1145,115,453,687,27,240,340,-5,5,107,0,0,0,0,0,0
93,0.5025,0.4836,1.3491,0.8407,0.2495,0.9785,12,16,39,31,75,69,14696,2894,12300,17590,12300,29890,10.34,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,477,1952,182,795,1812,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
94,0.3529,1.3556,0.4466,1.2636,1.3252,0.8581,98,12,46,62,57,83,14656,2914,12323,17570,12323,29894,10.62,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1963,142,776,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
95,0.8111,1.1871,1.311,0.6526,0.2886,0.5386,84,72,49,60,17,24,14664,2966,12366,17630,12366,29996,10.29,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,452,665,16,242,343,-5,5,105,0,0,0,0,0,0
96,0.6637,1.0276,1.1392,1.3833,0.7884,0.6164,57,11,29,71,44,76,14665,2894,12246,17559,12246,29804,10.18,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,151,773,1788,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
97,1.4281,1.042,1.0992,0.4326,0.8276,0.4182,86,30,64,46,29,86,14598,2980,11816,17578,11816,29394,10.39,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,554,1456,161,807,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
98,1.488,1.3744,1.4744,0.7151,0.8964,1.3157,87,74,64,37,55,80,14598,2876,11816,17474,11816,29290,10.59,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,442,1456,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
99,0.8512,0.3714,0.2585,1.4183,0.7841,0.2022,15,22,67,30,66,61,14675,3010,12365,17685,12365,30050,10.73,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,585,2005,161,784,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
100,1.0478,0.9036,0.5083,1.3688,0.794,0.9642,97,31,24,23,11,75,14680,3012,12305,17692,12305,29998,10.66,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,795,1824,83,529,1145,110,452,679,17,237,348,-5,5,107,0,0,0,0,0,0
